#TAG,NAME IN REPO, PURPOSE (Should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xinit,"starts the graphical server."
,xorg-xsetroot,"is a dependency of my dwm bar script."
,xorg-xinput,"for listing input devices."
,ttf-firacode-nerd,"is the best nerd font."
,ttf-jetbrains-mono-nerd,"provides mono spaced awesomeness."
,noto-fonts-emoji,"is a dependency of the Starship prompts"
A,lf-git,"is an extensive file manager that everyone likes."
,ueberzug,"enables previews in the lf file manager."
,github-cli,"is the GitHub CLI."
,bc,"for quick maffs."
,gnome-themes-extra,"dependency of gtk theme."
,gtk-engine-murrine,"dependency of gtk theme."
A,rose-pine-gtk-theme-full,"is the gtk theme (takes a while...)."
,trash-cli,"is a trashcan for deleted files."
,poppler,"is a PDF rendering library based on xpdf 3.0 (Dependency of lf preview script)."
,xcompmgr,"is for transparancy and removing screen-tearing."
,arandr,"allows the user to customize monitor arrangements."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT-drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,gnome-keyring,"serves as the system keyring."
,libgnome-keyring,"dependency of gnome-keyring and GitHub for vscode"
,seahorse,"GNOMES password manager"
,neovim,"a tidier vim with some useful features."
A,visual-studio-code-bin,"is everyones favorite IDE."
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,ncmpcpp, "a ncurses interface for music with multiple formats and a powerful tag editor."
,man-db,"lets you read man pages of programs."
,newsboat,"is a terminal RSS client."
,firefox,"is for muh browsing privacy."
,wireplumber,"is the audio system"
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,pulsemixer,"is an audio controller."
,maim,"can take quick screenshots at your request."
,unclutter,"hides an inactive mouse."
,unzip,"unzips zip's."
,xclip,"allows for copying and pasting from the command line."
A,zsh-theme-powerlevel10k-git,"is a lightning fast prompt."
,evince,"a more featureful pdf viewer than zathura."
,zathura,"is a document viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,mediainfo,"shows audio and video information."
,udiskie,"is for automatic mounting."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,xorg-xbacklight,"enables changing screen brightness levels."
,qbittorrent,"is a torrent client."
A,zsh-fast-syntax-highlighting-git,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
A,htop-vim,"is a graphical and colorful system monitor. Hi /r/unixporn."
,rofi,"runs commands and provides a UI for selection."
,wezterm,"is a powerful cross-platform terminal emulator and multiplexer."
A,i3lock-color,"allows you to lock your computer, and to quickly unlock it with your password."
,bat,"is a cat clone with syntax highlighting and Git integration."
,exa,"is a modern replacement for ls."
,polybar,"is a customizable status bar."
G,https://github.com/askeko/dwmblocks,"is the coolest wm on the block."
G,https://github.com/askeko/dwmblocks,"is a hackable, modular, and clickable statusbar."
,chezmoi,"is a dotfiles management tool."
,polkit,"is for handling policies."
,seahorse,"is for password management."
,lxsession-gtk3,"is an authentication agent."
,xdotool,"simulate keyboard input and mouse activity."
,onboard,"onboard keyboard."
,moreutils,"is a collection of useful unix tools."
,ripgrep,"is a dependency of telescope."
,fd,"is a dependency of telescope."
,lazygit,"is for nvim git integration."
,lxappearance-gtk3,"is for gtk theming."
,qt5ct,"is for qt theming."
,qt6ct,"is for qt theming."
,imagemagick,"is an image manipulation tool."
,xorg-xdpyinfo,"is a display information utility for X and dependency of imagemagick script"
